title,company,location,avg_salary,skill
Senior Data Analyst,Aliqan Services,"bangalore, karnataka",750000.0,python
Senior Data Analyst,Aliqan Services,"bangalore, karnataka",750000.0,spark
Senior Data Analyst,Aliqan Services,"bangalore, karnataka",750000.0,azure
Healthcare Data Analyst,SHM ENTERPRISES,india,750000.0,data visualization
Data Analyst Trainee,Lead India,"bangalore, karnataka",750000.0,azure
Data Analyst Intern,Optimspace,"pune, maharashtra",750000.0,data visualization
Sr.Data Analyst,HCL Technologies Limited,"hyderabad, telangana",750000.0,excel
Sr.Data Analyst,HCL Technologies Limited,"hyderabad, telangana",750000.0,data visualization
Sr.Data Analyst,HCL Technologies Limited,"hyderabad, telangana",750000.0,communication
Sr Data Analyst,Jobizo,india,850000.0,sql
Senior Data Analyst,Capco,india,750000.0,python
Senior Data Analyst,Capco,india,750000.0,spark
Senior Data Analyst,Capco,"bangalore, karnataka",750000.0,python
Senior Data Analyst,Capco,"bangalore, karnataka",750000.0,spark
"Data Analyst, Senior",Infor,"pune, maharashtra",750000.0,excel
Lead Data Analyst,EXL,"pune, maharashtra",750000.0,python
Lead Data Analyst,EXL,"pune, maharashtra",750000.0,sql
Lead Data Analyst,EXL,"pune, maharashtra",750000.0,spark
Senior Data Analyst,EXL,"bangalore, karnataka",750000.0,sql
Senior Data Analyst,EXL,"bangalore, karnataka",750000.0,tableau
Senior Data Analyst,EXL,"bangalore, karnataka",750000.0,power bi
Sr. Data Analyst,OnActive,india,2250000.0,sql
Sr. Data Analyst,OnActive,india,2250000.0,power bi
Staff data analyst,A3R0-GTCI,india,750000.0,data visualization
